FORMULA	FIXEDMASS
C3H2F2O2	108.0022857
C3H4F2O2	110.0179358
C2HF3O2	113.9928639
C5H12F2N	124.0932322
C3H3F3O2	128.008514
CHF3O2S	133.9649349
C6H14F2N	138.1088823
C4H5F3O2	142.0241641
C3H2F4O2	145.9990922
CH2F3NO2S	148.975834
CHF3O3S	149.9598496
CH2F3O3P	149.9693652
C4H7F2NOS	155.0216413
C4H6F2O2S	156.0056569
C4H2F4O2	157.9990922
C4H4F4O2	160.0147422
C4H4F4O2	160.0147422
C4F6	161.9904193
C4F6	161.9904193
C2H4F3NO2S	162.991484
C2H3F3O3S	163.9754996
C3HF5O2	163.9896704
C3F6O	165.9853339
C3F6O	165.9853339
C6H12F4N	174.0900387
C2H2F2O5S	175.9591006
C4HF5O2	175.9896704
C5H2F6	176.0060694
C3H6F3NO2S	177.0071341
C4H3F5O2	178.0053204
C4H3F5O2	178.0053204
C3HF5O3	179.9846
C4H5F5S	180.0032123
C2H2F4O3S	181.9660778
C4H4F6O	182.0166341
C2HF5O2S	183.9617414
C3H2F6O2	183.9958986
C4H3F7	184.0122976
C7H16F3N2	185.1260096
C3HF7O	185.9915622
C3F8	187.9872258
C5HF5O2	187.9896704
C5H4F4O3	188.0096569
C7H14F4N	188.1056887
C4H2F4O4	189.9889214
C4H7F3O3S	192.0067997
C5H5F5O2	192.0209705
C5HF7	193.9966476
C5HF7	193.9966476
C5HF7	193.9966476
C4F7N	194.9918965
C4F7N	194.9918965
C3HClF4O3	195.9550345
C4H2F6O2	195.9958986
C5H3F7	196.0122976
C5H3F7	196.0122976
C5H3F7	196.0122976
C5H3F7	196.0122976
C4HF7O	197.9915622
C4HF7O	197.9915622
C5H5F7	198.0279477
C7H13F3N2O	198.0979977
C2H2F5NO2S	198.9726404
C4H4F7N	199.0231967
C4H4F7N	199.0231967
C2HF5O3S	199.956656
C2H2F5O3P	199.9661717
C4F8	199.9872258
C4F8	199.9872258
C4F8	199.9872258
C4H3F7O	200.0072123
C4H3F7O	200.0072123
C4H3F7O	200.0072123
C3HClF6O	201.9620117
C3HClF6O	201.9620117
C3HClF6O	201.9620117
C3HClF6O	201.9620117
C3HF7O2	201.9864768
C4H2F8	202.0028758
C8H16F4N	202.1213388
C3ClF7	203.9576752
C5H4F5NS	204.9984612
C5H7F4NOS	205.0184477
C5H6F4O2S	206.0024633
C3H4F3NO4S	206.9813133
C5H2F6O2	207.9958986
